t,rx,ry,r_yaw_deg,gx,gy,g_yaw_deg,x_err,y_err,xy_err,yaw_err_deg,path_err,linear_vel,angular_vel
1.5778717410003082,0.37084766613500886,-0.010273725225022207,-2.0119633339366367,5.6,0.0,-89.95437383553924,5.229152333864991,0.010273725225022207,5.229162426258691,-87.94241050160261,0.009726250188061752,0.6499999999886842,-0.01673076923150721
1.7239815420002742,0.43480929073922736,-0.012489628311902999,-1.989926495647395,5.6,0.0,-89.95437383553924,5.165190709260772,0.012489628311902999,5.165205809437719,-87.96444733989186,0.00751034710118096,0.6599999999963497,-0.005192307691880282
1.8730929060002381,0.4941398950464452,-0.014608052671437704,-2.100110687016436,5.6,0.0,-89.95437383553924,5.105860104953554,0.014608052671437704,5.105881001997517,-87.85426314852282,0.005391922741646255,0.6168421052611822,-0.007692307690802355
2.020243598000434,0.5517269824871395,-0.017623722697032475,-2.37998762082148,5.6,0.0,-89.95437383553924,5.0482730175128605,0.017623722697032475,5.048303779978984,-87.57438621471778,0.0023762527160514843,0.5978947368350098,-0.015384615385050707
2.1535351360003006,0.6171787179359374,-0.0206227214479978,-2.43342922556373,5.6,0.0,-89.95437383553924,4.982821282064062,0.0206227214479978,4.982863958170087,-87.52094460997553,0.0006227460349138396,0.631842105252358,-0.005769230769733614
2.2912603970003147,0.6875100863632044,-0.023608948077859942,-2.411392387296951,5.6,0.0,-89.95437383553924,4.912489913636795,0.023608948077859942,4.91254664446177,-87.5429814482423,0.0036089726647759827,0.6827631578850206,0.0019230769225547489
2.4403000310003335,0.7528485762523874,-0.026320608631746664,-2.3673187107368436,5.6,0.0,-89.95437383553924,4.847151423747612,0.026320608631746664,4.847222885238232,-87.5870551248024,0.006320633218662705,0.6789473684179343,0.005769230769588482
2.5900828090002506,0.8156972506249416,-0.03254198328678973,-2.637448820548516,5.6,0.0,-89.95437383553924,4.784302749375058,0.03254198328678973,4.784413420509768,-87.31692501499073,0.012542007873705768,0.6524999999957958,0.003846153847316214
2.7325143260000004,0.8756828218521097,-0.03626493731564661,-2.6388708331855124,5.6,0.0,-89.95437383553924,4.72431717814789,0.03626493731564661,4.724456365066964,-87.31550300235374,0.01626496190256265,0.6285526315752861,0.005769230768821193
2.8828347690000555,0.9344125341631944,-0.03891485242800489,-2.528686641811622,5.6,0.0,-89.95437383553924,4.665587465836805,0.03891485242800489,4.665749754017353,-87.42568719372763,0.01891487701492093,0.5969736842070682,0.015384615384279082
3.0300296740001613,0.9948561864677079,-0.041525170208420815,-2.4185024504381283,5.6,0.0,-89.95437383553924,4.605143813532292,0.041525170208420815,4.605331028609733,-87.53587138510113,0.021525194795336856,0.5964473684117453,0.019230769231184695
3.186664679000387,1.0464796139437091,-0.03940222708706832,-1.9936504956319716,5.6,0.0,-89.95437383553924,4.553520386056291,0.03940222708706832,4.553690859262369,-87.96072333990728,0.019719044837750006,0.6357894736721612,0.01923076923107984
3.3373298030001024,1.1133507722738498,-0.040478242837658315,-1.8047993633997015,5.6,0.0,-89.95437383553924,4.48664922772615,0.040478242837658315,4.486831819981543,-88.14957447213955,0.020478267424574356,0.6865789473596831,0.01923076923111544
3.4874918380000963,1.1774787021689996,-0.04243854713772908,-1.6946151720254299,5.6,0.0,-89.95437383553924,4.4225212978310005,0.04243854713772908,4.4227249134500735,-88.25975866351382,0.02243857172464512,0.6740789473673615,0.019230769231253598
3.641708132000076,1.2369543282809008,-0.04414113412317078,-1.584430980651751,5.6,0.0,-89.95437383553924,4.363045671719099,0.04414113412317078,4.363268954949768,-88.3699428548875,0.02414115871008682,0.6182894736826532,0.019230769231234034
3.779079634000027,1.2991427005679423,-0.045800883286211666,-1.4742467892789777,5.6,0.0,-89.95437383553924,4.3008572994320575,0.045800883286211666,4.301101164932977,-88.48012704626028,0.025800907873127707,0.6085526315723073,0.019230769231103277
3.9275844730000244,1.3345026697993545,-0.051915251393626335,-1.0440357590277172,5.6,0.0,-89.95437383553924,4.265497330200645,0.051915251393626335,4.265813248054361,-88.91033807651154,0.031915275980542376,0.6031578947327548,0.019230769231192095
4.079136204000406,1.3865699789566375,-0.05399846846535494,-0.8538448579350398,5.6,0.0,-89.95437383553924,4.213430021043362,0.05399846846535494,4.213776023571504,-89.10052897760421,0.033998493052270984,0.5813157894688366,0.019230769231258535
4.232508499000232,1.4470641017770747,-0.054841063867061904,-0.7436606665616449,5.6,0.0,-89.95437383553924,4.152935898222925,0.054841063867061904,4.1532979807659745,-89.2107131689776,0.015158912291080115,0.5917105263056349,0.01923076923114505
4.381388961000084,1.5137171580893376,-0.055643496334552976,-0.6555133134546333,5.6,0.0,-89.95437383553924,4.086282841910662,0.055643496334552976,4.086661677063298,-89.29886052208462,0.014356479823589043,0.6357894736722571,0.017307692308743426
4.5184111020003,1.5801771655184247,-0.053717969264078264,-0.396844164221955,5.6,0.0,-89.95437383553924,4.019822834481575,0.053717969264078264,4.020181742265061,-89.5575296713173,0.016282006894063755,0.6890789473597574,0.003846153848092132
4.660486485000092,1.6441527720773763,-0.05351500667215332,-0.5767857817403905,5.6,0.0,-89.95437383553924,3.9558472279226233,0.05351500667215332,3.9562091889335456,-89.37758805379886,0.016484969485988696,0.681578947366172,-0.026153846150964655
4.805281401000229,1.7029374362846132,-0.05426231843540873,-0.8500425763507098,5.6,0.0,-89.95437383553924,3.8970625637153864,0.05426231843540873,3.8974403170175584,-89.10433125918854,0.015737657722733292,0.6197368421050066,-0.04615384615285933
4.953366477000145,1.7599838886902524,-0.05510167067907034,-0.7795246939078468,5.6,0.0,-89.95437383553924,3.8400161113097475,0.05510167067907034,3.840411427077841,-89.1748491416314,0.014898305479071679,0.5792105263116637,-0.01769230769616831
5.104911644000367,1.823690696075751,-0.05578179090542995,-0.4489721197999023,5.6,0.0,-89.95437383553924,3.776309303924249,0.05578179090542995,3.776721272095872,-89.50540171573935,0.014218185252712068,0.6038157894624754,0.03499999999644225
5.25396148100026,1.8955081849990276,-0.0693232224656628,-1.1955552335533772,5.6,0.0,-89.95437383553924,3.704491815000972,0.0693232224656628,3.705140390940972,-88.75881860198587,0.000676753692479215,0.6546052631492894,0.057692307686431375
5.4038855600001625,1.9567473824184765,-0.0739885482820172,-1.134286581504267,5.6,0.0,-89.95437383553924,3.643252617581523,0.0739885482820172,3.6440038338058183,-88.82008725403499,0.003988572123875184,0.6371052631556772,0.05769230767706605
5.546924239000418,2.0177381234371596,-0.07504904246807079,-0.9183255665053105,5.6,0.0,-89.95437383553924,3.58226187656284,0.07504904246807079,3.5830479359130676,-89.03604826903394,0.005049066309928768,0.6060526315734197,0.047692307674668775
5.68496785600064,2.0842543531829154,-0.07620538801075935,-1.1210644784943455,5.6,0.0,-89.95437383553924,3.5157456468170842,0.07620538801075935,3.516571443078492,-88.83330935704491,0.006205411852617332,0.6376315789372788,0.0011538461578047715
